archip;species;common_name;ext_date;story
Canaries;Puffinus Olsoni;Lava Shearwater;NA;
Nearctic;Chendytes Lawi;Law'S Diving-Goose;NA;
Hawaii;Zapornia Palmeri;Laysan Crake;1944;This Hawaiian bird's rapid, repetitive calls were once common in grasslands. Its disappearance highlights the lasting impact of habitat destruction and introduced predators.
Hawaii;Himatione Fraithii;Laysan Honeycreeper;1923;A bright red bird from Hawaii, it fed on nectar and helped pollinate native plants. Its cheerful song was a symbol of Hawaiian forests. Mosquito-borne diseases wiped it out.
Afrotropic;Sylvietta Chapini;Lendu Crombec;NA;
Hawaii;Akialoa Obscura;Lesser Akialoa;1940;A vital pollinator for native Hawaiian plants, this honeycreeper's extinction reflects the ecological imbalance caused by introduced diseases and habitat degradation.
Bermuda;Zapornia Piercei;Lesser Bermuda Crake;NA;
Bermuda;Rallus Ibycus;Lesser Bermuda Rail;NA;
Hawaii;Rhodacanthis Flaviceps;Lesser Koa Finch;1891;
Cook;Zapornia Sp./Mangaia;Lesser Mangaia Crake;NA;
New Caledonia;Aceros Sp./Lifou;Lifou Hornbill;NA;
Hawaii;Zapornia Menehune;Liliput Crake;NA;
Vanuatu;Mwalau Walterlinii;Lini'S Megapode;NA;
Aotearoa New Zealand;Dendroscansor Decurvirostris;Long-Billed Wren;NA;
Canaries;Emberiza Alcoveri;Long-Legged Bunting;NA;
Lord Howe;Porphyrio Albus;Lord Howe Gallinule;1834;
Lord Howe;Gerygone Insularis;Lord Howe Gerygone;1936;This small, cheerful bird played a role in insect control on Lord Howe Island. Rats introduced by settlers disrupted its habitat, leading to its extinction.
New Caledonia;Rhynochetos Orarius;Lowland Kagu;NA;
Aotearoa New Zealand;Traversia Lyalli;Lyall'S Wren;1900;This small bird from New Zealand lived on predator-free islands and had a high-pitched call. Cats introduced by lighthouse keepers led to its extinction.
Canaries;Fringillidae Sp./Madeira;Madeira Fringilid;NA;
Canaries;Rallus Lowei;Madeira Rail;NA;
Canaries;Turdus Sp./Madeira;Madeira Thrush;NA;
Canaries;Rallus Sp./Madeira;Madeira Undescribed Rail;NA;
Canaries;Otus Mauli;Madeiran Scops Owl;NA;
Solomon;Pareudiastes Silvestris;Makira Moorhen;NA;
Madagascar;Stephanoaetus Mahery;Malagasy Crowned Eagle;NA;
Madagascar;Vanellus Madagascarensis;Malagasy Lapwing;NA;
Madagascar;Centrornis Majori;Malagasy Sheldgoose;NA;
Madagascar;Alopochen Sirabensis;Malagasy Shelduck;NA;
Vanuatu;Eclectus Cf.Infectus;Malakula Eclectus Parrot;NA;
Palearctic;Cygnus Falconeri;Maltese Giant Swan;NA;
Palearctic;Gyps Melitensis;Maltese Vulture;NA;
Cook;Zapornia Rua;Mangaia Crake;NA;
Cook;Gallicolumba Sp./Mangaia;Mangaia Pigeon;NA;
Cook;Hypotaenidia Ripleyi;Mangaia Rail / Ripley'S Rail;NA;
Cook;Prosobonia Sp./Mangaia;Mangaia Sandpiper;NA;
Cook;Porphyrio Sp./Mangaia;Mangaia Swamphen/Woodhen;NA;
Cook;Aerodramus Manuoi;Mangaia Swiftlet;NA;
Gambier;Cf.Ptilinopus Sp./Mangavera;Mangareva Fruit Dove;NA;
Gambier;Ducula Sp./Gambier;Mangareva Imperial Pigeon;NA;
Gambier;Pseudobulweria Sp./Gambier;Mangareva Petrel;NA;
Gambier;Acrocephalus Astrolabii;Mangareva Reed Warbler;1839;This delicate songbird, native to Mangareva in French Polynesia, filled the air with its melodic tunes. Revered in local folklore, it was a messenger between the spiritual and natural worlds. Habitat destruction and invasive rats drove it to extinction.
Aotearoa New Zealand;Pachyornis Geranoides;Mantell'S Moa;NA;
Seychelles;Zosterops Semiflavus;Marianne White-Eye;1892;
Marquesas;Porphyrio Paepae;Marquesan Swamphen;1937;Celebrated in local legends for its resilience, this flightless bird lived in the wetlands of the Marquesas Islands. Hunting and habitat destruction brought its story to an end.
Marquesas;Macropygia Heana;Marquesas Cuckoo-Dove;NA;
Windward;Amazona Martinicana;Martinique Parrot;1800;
Mascarenes;Papasula Sp./Mascarenes;Mascarene Booby;1832;
Mascarenes;Fulica Newtonii;Mascarene Coot;1700;
Mascarenes;Mascarinus Mascarin;Mascarene Parrot;1834;This vivid parrot, once flourishing on the Mascarene Islands, boasted bright green feathers and a friendly demeanor. Local legends speak of its curiosity and intelligence. Habitat loss and hunting led to its disappearance.
Mascarenes;Anas Theodori;Mascarene Teal;1690;
Hawaii;Loxops Ochraceus;Maui Akepa;NA;
Hawaii;Chloridops Sp./Maui;Maui Grosbeak;NA;
Hawaii;Apteribis Sp./Maui;Maui Lowland Apteribis;NA;
Hawaii;Telespiza Aff.Ypsilon;Maui Nui Finch;NA;
Hawaii;Aidemedia Lutetiae;Maui Nui Icterid-Like Gaper;NA;
Hawaii;Aidemedia Lutetiae;Maui Nui Icterid-Like Gaper;NA;
Hawaii;Thambetochen Chauliodous;Maui Nui Moa-Nalo;NA;
Hawaii;Hemignathus Affinis;Maui Nukupuu;NA;
Hawaii;Grallistrix Erdmani;Maui Stilt-Owl;NA;
Hawaii;Apteribis Brevis;Maui Upland Apteribis;NA;
Society;Pomarea Pomarea;Maupiti Monarch;1850;
Mascarenes;Aphanapteryx Bonasia;Mauritian Red Rail;1700;This flightless bird, native to Mauritius, stood out with its reddish plumage and long legs. It played a crucial role in maintaining its habitat's ecological balance. The introduction of invasive predators led to its extinction.
Mascarenes;Alectroenas Nitidissimus;Mauritius Blue Pigeon;1840;
Mascarenes;Nycticorax Mauritianus;Mauritius Night Heron;1700;
Mascarenes;Alopochen Mauritiana;Mauritius Sheldgoose;1698;
Mascarenes;Cryptopsar Ischyrhynchus;Mauritius Starling;NA;
Mascarenes;Nesoenas Cicur;Mauritius Turtle Dove;1730;
Mascarenes;Columba Thiriouxi;Mauritius Woodpigeon;1730;
Hawaii;Zapornia Sp./Kauaimedium;Medium Kauai Crake;NA;
Hawaii;Zapornia Sp./Maui;Medium Maui Crake;NA;
Bahamas;Rallus Cyanocavi;Medium-Sized Abaco Rail;NA;
Society;Zapornia Nigra;Miller'S Rail;1800;
Hawaii;Apteribis Glenos;Molokai Apteribis;NA;
Hawaii;Paroreomyza Flammea;Molokai Creeper;1963;This Hawaiian honeycreeper, with its bright red feathers, was a cherished part of local ecosystems and folklore. Its extinction followed the destruction of its forest habitat and the spread of avian diseases.
Hawaii;Telespiza Ypsilon;Molokai Finch;NA;
Hawaii;Grallistrix Geleches;Molokai Stilt-Owl;NA;
Windward;Amazona Sp./Montserrat;Montserrat Parrot;NA;
Society;Acrocephalus Longirostris;Moorea Reed-Warbler;NA;
Society;Prosobonia Ellisi;Moorea Sandpiper;1800;
Cook;Aplonis Mavornata;Mysterious Starling;1825;
Hawaii;Chaetoptila Sp./Maui;Narrow-Billed Kioea;NA;
Philippines;Ptilinopus Arcanus;Negros Fruit-Dove;NA;
Hawaii;Branta Hylobadistes;Nene-Nui;NA;
Hawaii;Branta Hylobadistes;Nene-Nui;NA;
Hawaii;Branta Hylobadistes;Nene-Nui;NA;
New Caledonia;Tyto Letocarti;New Caledonian Barn Owl;NA;
New Caledonia;Ninox Sp./Newcaledonia;New Caledonian Boobook;NA;
New Caledonia;Turnix Novaecaledoniae;New Caledonian Buttonquail;NA;
New Caledonia;Cacatua Sp./Newcaledonia;New Caledonian Cockatoo;NA;
New Caledonia;Porphyrio Kukwiedei;New Caledonian Gallinule;1860;
New Caledonia;Alopecoenas Longitarsus;New Caledonian Ground Dove;NA;
New Caledonia;Charmosyna Diadema;New Caledonian Lorikeet;NA;
New Caledonia;Eurostopodus Exul;New Caledonian Nightjar;NA;
New Caledonia;Aegotheles Savesi;New Caledonian Owlet-Nightjar;NA;
New Caledonia;Gallirallus Lafresnayanus;New Caledonian Rail;NA;
New Caledonia;Coenocorypha Neocaledonica;New Caledonian Snipe;NA;
Bismarck;Cacatua Sp./Newireland;New Ireland Cockatoo;NA;
Bismarck;Corvus Sp.Newireland;New Ireland Crow;NA;
Bismarck;Tyto Sp./Newireland2;New Ireland Greater Barn-Owl;NA;
Bismarck;Tyto Sp./Newireland1;New Ireland Lesser Barn-Owl;NA;
Bismarck;Megapodius Sp./Newireland;New Ireland Megapode;NA;
Bismarck;Gallirallus Ernstmayri;New Ireland Rail;NA;
Aotearoa New Zealand;Fulica Prisca;New Zealand Coot;NA;
Aotearoa New Zealand;Fulica Prisca;New Zealand Coot;NA;
Aotearoa New Zealand;Ixobrychus Novaezelandiae;New Zealand Little Bittern;1900;This small heron lived in New Zealand's wetlands, feeding on fish and insects. Draining of swamps and introduced predators caused its extinction.
Aotearoa New Zealand;Biziura Delautouri;New Zealand Musk Duck;NA;
Aotearoa New Zealand;Biziura Delautouri;New Zealand Musk Duck;NA;
Aotearoa New Zealand;Aegotheles Novazelandiae;New Zealand Owlet-Nightjar;NA;
Aotearoa New Zealand;Aegotheles Novazelandiae;New Zealand Owlet-Nightjar;NA;
Aotearoa New Zealand;Coturnix Novaezelandiae;New Zealand Quail;1875;
Aotearoa New Zealand;Corvus Antipodum;New Zealand Raven;NA;
Aotearoa New Zealand;Corvus Antipodum;New Zealand Raven;NA;
Aotearoa New Zealand;Oxyura Vantetsi;New Zealand Stiff-Tailed Duck;NA;
Mascarenes;Psittacula Exsul;Newton'S Parakeet;1875;Endemic to Rodrigues Island, this parakeet displayed striking green and blue feathers. Its cheerful squawks brightened the forests, where it fed on fruits and seeds. Overhunting and habitat loss due to deforestation led to its demise.
Tonga;Nycticorax Kalavikai;Niue Night-Heron;NA;
Tonga;Gallirallus Huiatua;Niue Rail;NA;
Fiji;Megavitiornis Altirostris;Noble 'Megapode';NA;
Cuba;Tyto Noeli;Noel'S Barn Owl;NA;
Norfolk;Porphyrio Sp./Norfolk;Norfolk Island Gallinule;NA;
Norfolk;Hypotaenidia Sp./Norfolk;Norfolk Island Rail;1788;
Norfolk;Coenocorypha Sp./Norfolk;Norfolk Island Snipe;NA;
Norfolk;Nestor Productus;Norfolk Kaka;1851;This colorful parrot from Norfolk Island was known for its raucous calls and sociable nature. It was deeply woven into the local ecosystem, dispersing seeds that sustained native plants. Hunting and habitat loss sealed its fate.
Aotearoa New Zealand;Aptornis Otidiformis;North Island Adzebill;NA;
Aotearoa New Zealand;Dinornis Novaezealandiae;North Island Giant Moa;NA;
Aotearoa New Zealand;Cnemiornis Gracillis;North Island Goose;NA;
Aotearoa New Zealand;Coenocorypha Barrierensis;North Island Or Little Barrier Snipe;1870;
Aotearoa New Zealand;Turnagra Tanagra;North Island Piopio;1955;Known for its beautiful, flute-like calls, this New Zealand bird was a symbol of forest harmony. Its disappearance underscores the impact of habitat destruction and introduced predators.
Aotearoa New Zealand;Pachyplichas Jagmi;North Island Stout-Legged Wren;NA;
Aotearoa New Zealand;Porphyrio Mantelli;North Island Takahe;1850;
Marquesas;Zapornia Sp./Nuku Hiva;Nuku Hiva Crake;NA;
Marquesas;Ducula Cf.Galeata;Nuku Hiva Pigeon;NA;
Marquesas;Gallirallus Epulare;Nuku Hiva Rail;1510;Native to the Marquesas, this small, flightless bird was an expert insect hunter. Its extinction marked a tragic loss for the region's biodiversity. Habitat destruction and predation by invasive species led to its extinction.
Marquesas;Pomarea Nukuhivae;Nukuhiva Flycatcher;1951;
Hawaii;Loxops Wolstenholmei;Oahu Akepa;1930;This bright orange honeycreeper pollinated flowers and controlled pests in Hawaiian forests. Habitat destruction silenced its presence in the ecosystem.
Hawaii;Akialoa Ellisiana;Oahu Akialoa;1937;This Hawaiian bird, known for its melodic calls, was integral to pollination. Diseases brought by invasive mosquitoes disrupted its role, leading to its decline.
Hawaii;Paroreomyza Maculata;Oahu Alauahio;NA;
Hawaii;Aidemedia Chascax;Oahu Icterid-Like Gaper;NA;
Hawaii;Thambetochen Xanion;Oahu Moa-Nalo;NA;
Hawaii;Hemignathus Lucidus;Oahu Nukupuu';1899;A Hawaiian bird with a long, curved beak, it helped pollinate native plants. Habitat loss and diseases caused its extinction.
Hawaii;Moho Apicalis;Oahu Oo;1850;
Hawaii;Pterodroma Jugabilis;Oahu Petrel;NA;
Hawaii;Pterodroma Jugabilis;Oahu Petrel;NA;
Hawaii;Grallistrix Orion;Oahu Stilt-Owl;NA;
Vanuatu;Eclectus Infectus;Oceanic Parrot;1793;
Hawaii;Myadestes Lanaiensis;Olomao;NA;
Saint Helena;Bulweria Bifax;Olson'S Petrel;1502;
Hawaii;Psittirostra Psittacea;Ou;NA;
Mariana;Acrocephalus Yamashinae;Pagan Reed-Warbler;1969;Found on Pagan Island, this bird had a melodic song that resonated through the forests. It played a key role in controlling insect populations but vanished due to habitat destruction and invasive species.
Australasia;Psephotellus Pulcherrimus;Paradise Parrot;1927;With bright green and scarlet feathers, this Australian parrot was a striking sight. It nested in termite mounds and helped disperse seeds. Overgrazing and habitat destruction led to its disappearance.
Nearctic;Ectopistes Migratorius;Passenger Pigeon;1914;Once numbering in the billions, this bird darkened the skies in migration. It was a keystone species, helping forests regenerate. Overhunting and habitat destruction led to its extinction.
Neotropic;Glaucidium Mooreorum;Pernambuco Pygmy‐Owl;NA;
Azores;Rallus Montivagorum;Pico Rail;NA;
New Caledonia;Megapodius Molistructor;Pile-Builder Megapode;NA;
Indo-Malay;Rhodonessa Caryophyllacea;Pink-Headed Duck;NA;
Pohnpei;Aplonis Pelzelni;Pohnpei Starling;NA;
Hawaii;Melamprosops Phaeosoma;Poo-Uli;2004;The Poo-uli, or Black-faced Honeycreeper, was sacred to Native Hawaiians as part of a larger ecological network. Its extinction, driven by habitat destruction and introduced diseases, symbolizes the disruption of Hawaiian cultural and ecological systems.
Canaries;Rallus Adolfocaesaris;Porto Santo Rail;NA;
Cuba;Cygnus Sumnerensis;Pouwa Or New Zealand Swan;1650;
New Caledonia;Accipiter Efficax;Powerful Goshawk;NA;
Hawaii;Rhodacanthis Litotes;Primitive Koa Finch';NA;
Hawaii;Rhodacanthis Litotes;Primitive Koa Finch';NA;
Hispaniola;Tyto Cavatica;Puerto Rican Barn Owl;NA;
Hispaniola;Pedinorhis Stirpsarcana;Puerto Rican Bunting;NA;
Hispaniola;Caracara Latebrosus;Puerto Rican Caracara;NA;
Hispaniola;Corvus Pumilis;Puerto Rican Crow;NA;
Hispaniola;Ara Autocthones;Puerto Rican Macaw;NA;
Hispaniola;Tachornis Uranoceles;Puerto Rican Palm Swift;NA;
Hispaniola;Geotrygon Larva;Puerto Rican Quail-Dove;NA;
Hispaniola;Scolopax Anthonyi;Puerto Rican Woodcock;NA;
Neotropic;Claravis Geoffroyi;Purple-Winged Ground-Dove;NA;
Australasia;Casuarius Lydekkeri;Pygmy Cassowary;NA;
Indo-Malay;Cyornis Ruckii;Rück'S Blue-Flycatcher;NA;
Society;Aplonis Ulietensis;Raiatea Starling Or Bay Thrush;1812;
Mascarenes;Lophopsittacus Mauritianus;Raven Parrot;1693;
Marquesas;Ptilinopus Mercierii;Red-Moustached Fruit-Dove;1950;This colorful bird from the Pacific Islands was vital for seed dispersal. Its decline reflects the consequences of habitat destruction and hunting on island ecosystems.
Bahamas;Buteo Quadratus;Red-Shouldered Hawk;NA;
Mascarenes;Porphyrio Caerulescens;Reunion Blue Gallinule;1730;
Mascarenes;Alectroenas Sp./Reunion;Reunion Blue Pigeon;1674;
Mascarenes;Foudia Delloni;Reunion Fody;1672;
Mascarenes;Threskiornis Solitarius;Reunion Ibis;1708;
Mascarenes;Falco Duboisi;Reunion Kestrel;1672;
Mascarenes;Nycticorax Duboisi;Reunion Night Heron;1674;
Mascarenes;Mascarenotus Grucheti;Reunion Owl;1650;
Mascarenes;Nesoenas Duboisi;Reunion Pink Pigeon;1750;This delicate pigeon, endemic to Reunion Island, symbolized beauty and fragility. Its soft pink feathers and gentle calls enchanted observers. Loss of habitat and introduced predators made it vanish, though its legacy inspires ongoing conservation efforts.
Mascarenes;Aythya Sp./Reunion;Reunion Pochard;1710;
Mascarenes;Psittacidae Sp./Reunion;Reunion Red And Green Parrot;1674;
Mascarenes;Alopochen Kervazoi;Reunion Shelduck;1690;
Mascarenes;Fregilupus Varius;Reunion Starling;1860;
Mascarenes;Dryolimnas Augusti;Reunion Wood Rail;1670;
Hawaii;Xestospiza Fastiglialis;Ridge-Billed Finch;NA;
Hawaii;Xestospiza Fastiglialis;Ridge-Billed Finch;NA;
Hawaii;Xestospiza Fastiglialis;Ridge-Billed Finch;NA;
Hawaii;Corvus Viriosus;Robust Crow;NA;
Hawaii;Corvus Viriosus;Robust Crow;NA;
Lord Howe;Zosterops Strenuus;Robust White-Eye;1928;This bird from the Bonin Islands had a short, clear call and thrived in dense forests. It was important for dispersing seeds. Habitat destruction and invasive species led to its extinction.
Mascarenes;Alectroenas Payandeei;Rodrigues Blue Pigeon;1690;
Mascarenes;Hypsipetes Cowlesi;Rodrigues Bulbul;NA;
Mascarenes;Nycticorax Megacephalus;Rodrigues Night Heron;1761;
Mascarenes;Mascarenotus Murivorus;Rodrigues Owl;1726;
Mascarenes;Necropsittacus Rodricanus;Rodrigues Parrot;1761;With its vivid orange beak and blue-green feathers, the Rodrigues Parrot was a striking sight. It thrived in the dense forests of Rodrigues Island, feeding on fruits and seeds. Human hunting and deforestation sealed its fate.
Mascarenes;Pterodroma Sp./Rodrigues;Rodrigues Petrel;1725;
Mascarenes;Erythromachus Leguati;Rodrigues Rail;NA;
Mascarenes;Necropsar Rodericanus;Rodrigues Starling;1726;
Mascarenes;Anatidae Sp./Rodrigues;Rodrigues Stout-Legged Duck;1610;
Mascarenes;Nesoenas Rodericanus;Rodrigues Turtle Dove;NA;
Mascarenes;Pezophaps Solitaria;Rodriguez Solitaire;1770;The Rodrigues Solitaire was a peculiar, flightless bird, renowned for its strange, drumming courtship sounds. It played a critical role in maintaining the island's vegetation. Sadly, it vanished after human settlers introduced invasive species.
Mariana;Zapornia Sp./Rota;Rota Crake;NA;
Mariana;Anatidae Sp./Rota;Rota Flightless Duck;NA;
Mariana;Gallicolumba Sp./Rota;Rota Large Ground-Dove;NA;
Mariana;Psittacidae Sp./Rota;Rota Parrot;NA;
Mariana;Erythrura Sp./Guam;Rota Parrot-Finch;NA;
Mariana;Erythrura Sp./Guam;Rota Parrot-Finch;NA;
Mariana;Gallirallus Temptatus;Rota Rail;NA;
Mariana;Porphyrio Sp./Rota;Rota Swamphen;NA;
Austral;Gallicolumba Sp./Rurutu1;Rurutu Large Ground-Dove;NA;
Austral;Gallirallus Sp./Rurutu;Rurutu Rail;NA;
Austral;Gallicolumba Sp./Rurutu2;Rurutu Small Ground-Dove;NA;
Ryukyu;Columba Jouyi;Ryukyu Pigeon;1936;Native to Japan's Ryukyu Islands, this pigeon dispersed seeds crucial for forest growth. Overhunting and habitat destruction diminished its population, erasing a critical part of the ecosystem.
Saint Helena;Zapornia Astrictocarpus;Saint Helena Crake;1502;
Saint Helena;Nannococcyx Psix;Saint Helena Cuckoo;1800;
Saint Helena;Dysmoropelia Dekarchiskos;Saint Helena Dove;NA;
Saint Helena;Upupa Antaios;Saint Helena Giant Hoopoe;1640;
Saint Helena;Atlantisia Podarces;Saint Helena Rail;1550;
Saint Helena;Puffinus Pacificoides;Saint Helena Shearwater;NA;
Mariana;Gallirallus Sp./Saipan;Saipan Rail;NA;
Samoan;Pareudiastes Pacificus;Samoan Moorhen;NA;
Azores;Rallus Sp./Santamaria;Santa Maria Rail;NA;
Azores;Rallus Nanus;Sao Jorge Rail;NA;
Azores;Rallus Carvaoensis;S'O Miguel Rail;NA;
Azores;Otus Frutuosoi;S'O Miguel Scops Owl;NA;
Mascarenes;Mascarenotus Sauzieri;Sauzier'S Owl;1840;
Aotearoa New Zealand;Malacorhynchus Scarletti;Scarlett'S Duck;NA;
Aotearoa New Zealand;Malacorhynchus Scarletti;Scarlett'S Duck;NA;
Aotearoa New Zealand;Puffinus Spelaeus;Scarlett'S Shearwater;NA;
Hawaii;Rhodacanthis Forfex;Scissor-Billed Koa Finch;NA;
Hawaii;Rhodacanthis Forfex;Scissor-Billed Koa Finch;NA;
Windward;Leucopeza Semperi;Semper'S Warbler;NA;
Seychelles;Psittacula Wardi;Seychelles Parakeet;1900;This colorful parrot from the Seychelles was admired for its chatter and playfulness. Overhunting and habitat destruction led to its decline.
Sulawesi;Otus Siaoensis;Siau Scops-Owl;NA;
Hawaii;Aidemedia Zanclops;Sickle-Billed Gaper;NA;
Marquesas;Vini Sinotoi;Sinoto'S Lorikeet;NA;
Neotropic;Pyrrhura Subandina;Sinu Parakeet;NA;
Siberia;Numenius Tenuirostris;Slender-Billed Curlew;1995;This migratory bird, connecting Siberia and the Mediterranean, represented a shared natural heritage across nations. Its loss to hunting and wetland destruction underscores the failure to protect transboundary ecosystems in the face of colonial greed.
Nearctic;Quiscalus Palustris;Slender-Billed Grackle;1910;This bird from Mexico lived in marshes and fields, singing a variety of calls. It helped control insects in its habitat. Draining wetlands caused its decline.
Canaries;Carduelis Aurelioi;Slender-Billed Greenfinch;NA;
Hawaii;Zapornia Sp./Hawaiismall;Small Big Island Crake;NA;
Hawaii;Zapornia Keplerorum;Small Maui Crake;NA;
Hawaii;Zapornia Ziegleri;Small Oahu Crake;NA;
Hawaii;Patiochen Pau;Small-Billed Moa-Nalo;NA;
Solomon;Columbidae Sp./Buka1;Small-Winged Ground Pigeon;NA;
Aotearoa New Zealand;Capellirallus Karamu;Snipe-Rail;NA;
Society;Acrocephalus Musae;Society Islands Reed Warbler;1900;This bird from the Society Islands had a sweet, clear song and helped control insect populations. Habitat destruction led to its disappearance.
Society;Cyanoramphus Ulietanus;Society Parakeet;1773;
Revillagigedos;Zenaida Graysoni;Socorro Dove;1972;Revered by Indigenous peoples of Socorro Island, this dove was vital for seed dispersal. Colonial overhunting and habitat destruction drove it to extinction, though reintroduction efforts aim to revive its legacy.
Aotearoa New Zealand;Aptornis Defossor;South Island Adzebill;NA;
Aotearoa New Zealand;Dinornis Robustus;South Island Giant Moa;NA;
Aotearoa New Zealand;Cnemiornis Calcitrans;South Island Goose;NA;
Aotearoa New Zealand;Callaeas Cinereus;South Island Kokako;NA;
Aotearoa New Zealand;Turnagra Capensis;South Island Piopio;1905;Known for its flute-like calls, this New Zealand bird embodied the richness of local forests. Introduced predators and habitat loss led to its decline.
Aotearoa New Zealand;Coenocorypha Iredalei;South Island Snipe;1964;A secretive bird from New Zealand, it was known for its unique drumming sound during mating displays. The introduction of predators led to its rapid decline.
Aotearoa New Zealand;Pachyplichas Yaldwyni;South Island Stout-Legged Wren;NA;
Nearctic;Urile Perspicillatus;Spectacled Cormorant;1850;
Neotropic;Cyanopsitta Spixii;Spix'S Macaw;2000;Known for its vibrant blue feathers, this bird symbolized love in Brazilian folklore. Its decline was fueled by colonial practices like deforestation and the pet trade, highlighting the extractive relationship between colonizers and nature.
Society;Caloenas Maculata;Spotted Green Pigeon;1928;A relative of the dodo, this bird had iridescent feathers and a distinctive spotted pattern. It was likely a strong flier, moving between islands in search of food. Overhunting and habitat loss caused its extinction.
Amsterdam;Anas Sp./Stpaul;St.Paul Garganey;1793;
Tonga;Ducula David;Steadman'S Imperial Pigeon;NA;
Hawaii;Ciridops Tenax;Stout-Legged Finch';NA;
Aotearoa New Zealand;Euryapteryx Curtus;Stout-Legged Moa Or Coastal Moa;NA;
Aotearoa New Zealand;Euryapteryx Curtus;Stout-Legged Moa Or Coastal Moa;NA;
Hawaii;Vangulifer Mirandus;Strange-Billed Finch;NA;
Philippines;Gallicolumba Menagei;Sulu Bleeding-Heart;NA;
Hawaii;Anatidae Sp./Oahu;Supernumerary Oahu Goose;NA;
Society;Hypotaenidia Pacifica;Tahiti Rail;1940;This shy bird, navigating Tahiti's marshes, symbolized the region's rich biodiversity. Habitat loss and introduced predators, linked to global trade routes, erased its presence from the wetlands.
Society;Prosobonia Leucoptera;Tahitian Sandpiper;1800;
Marquesas;Gallirallus Roletti;Tahuata Rail;NA;
Vanuatu;Alopecoenas Ferrugineus;Tanna Ground-Dove;1800;This ground-dwelling dove was native to Tanna Island in Vanuatu. Its soft cooing calls resonated through the island's forests. Despite its elusive nature, it couldn't escape the threats of hunting and habitat loss, leading to its extinction.
Norfolk;Aplonis Fusca;Tasman Starling;1923;Glossy black feathers shimmering in sunlight, this bird played a vital ecological role in Tasmania. Habitat loss and introduced predators sealed its fate.
Azores;Rallus Sp./Terceira;Terceira Rail;NA;
Solomon;Alopecoenas Salamonis;Thick-Billed Ground-Dove;1927;Known for its sturdy build and distinctive cooing, this bird lived on Pacific islands. It foraged on the ground for seeds and insects. Overhunting and introduced predators caused its extinction.
Hawaii;Vangulifer Neophasis;Thin-Billed Finch;NA;
Mascarenes;Lophopsittacus Bensoni;Thirioux'S Grey Parrot;1800;
Mariana;Zapornia Sp./Tinian;Tinian Crake;NA;
Mariana;Gallirallus Pendiculentus;Tinian Rail;NA;
Mariana;Porphyrio Sp./Tinian;Tinian Swamphen;NA;
Tonga;Myiagra Sp./Tonga;Tongan Flycatcher;NA;
Tonga;Didunculus Placopedetes;Tongan Tooth-Billed Pigeon;NA;
Canaries;Carduelis Triasi;Trias Greenfinch;NA;
Tristan;Gallinula Nesiotis;Tristan Moorhen;1900;This flightless bird from Tristan da Cunha controlled insect populations. Its secretive nature made it hard to spot. Habitat changes and introduced predators caused its extinction.
Austral;Ptilinopus Sp./Tubiau;Tubuai Fruit Dove;NA;
Austral;Gallicolumba Sp./Tubuai;Tubuai Ground Dove;NA;
Austral;Hypotaenidia Steadmani;Tubuai Rail;NA;
Bahamas;Amazona Sp./Turks;Turks And Caicos Parrot;NA;
Neotropic;Eriocnemis Godini;Turquoise‐Throated Puffleg;NA;
Hawaii;Chelychelynechen Quassus;Turtle-Jawed Moa-Nalo;NA;
Sardinia;Aquila Nipaloides;Tyrrhenian Eagle;NA;
Sardinia;Aquila Nipaloides;Tyrrhenian Eagle;NA;
Marquesas;Zapornia Sp./Uahuka1;Ua Huka Crake;NA;
Marquesas;Zapornia Sp./Uahuka2;Ua Huka Crake;NA;
Marquesas;Gallirallus Gracilitibia;Ua Huka Rail;NA;
Marquesas;Pomarea Mira;Ua Pou Monarch;NA;
Hawaii;Ciridops Anna;Ula-Ai-Hawane;1937;Feeding on loulu palm fruit, this Hawaiian bird sustained native plant life. Its extinction, following habitat destruction and disease outbreaks.
Marquesas;Gallicolumba Sp./Marquesas;Undescribed Ground Dove;NA;
Marquesas;Gallicolumba Sp./Marquesas;Undescribed Ground Dove;NA;
Hawaii;Aff.Tadorna Sp./Kauai;Undescribed Long-Legged Duck;NA;
Aotearoa New Zealand;Megalapteryx Didinus;Upland Moa;NA;
Tonga;Gallirallus Sp./Vavau;Vavau Rail;1793;
Galapagos;Pyrocephalus Dubius;Vermillion Flycatcher;1987;With its vivid plumage, this bird was an integral part of Gal'pagos Islands' ecosystems. Its decline, linked to invasive species and habitat loss, highlights the destructive footprint of colonial resource extraction in once-pristine lands.
Fiji;Vitirallus Watlingi;Viti Levu Rail;NA;
Fiji;Megapodius Amissus;Viti Levu Scrubfowl;1890;Found in Fiji, this bird laid its eggs in volcanic soil, using geothermal heat to incubate them. Its survival strategy was as unique as the islands it called home. Habitat destruction and overhunting caused its extinction.
Fiji;Coenocorypha Miratropica;Viti Levu Snipe;NA;
Hawaii;Chloridops Wahi;Wahi Grosbeak;NA;
Aotearoa New Zealand;Megadyptes Waitaha;Waitaha Penguin;NA;
Wake;Hypotaenidia Wakensis;Wake Island Rail;1945;A flightless bird, it maintained balance in its habitat by controlling insect populations. Its extinction followed the introduction of invasive species during wartime activities.
Norfolk;Zosterops Albogularis;White-Chested White-Eye;NA;
Indo-Malay;Eurochelidon Sirintarae;White-Eyed River Martin;NA;
