archip;common_name;species;iucn_category_2021;description;story
None;Cocha Antshrike;Thamnophilus Praecox;NT;Near Threatened;
None;Cochabamba Mountain-Finch;Poospiza Garleppi;NT;Near Threatened;
None;Cock-Tailed Tyrant;Alectrurus Tricolor;VU;Vulnerable;
None;Cocos Cuckoo;Coccyzus Ferrugineus;VU;Vulnerable;
None;Cocos Flycatcher;Nesotriccus Ridgwayi;VU;Vulnerable;
None;Chatham Oystercatcher;Haematopus Chathamensis;EN;Endangered;This striking black-and-white shorebird, with a vivid orange bill, inhabits the remote Chatham Islands. It's fiercely territorial, protecting its nests with loud calls and displays. Habitat disturbances and introduced predators have reduced its numbers.
None;Collared Crow;Corvus Pectoralis;VU;Vulnerable;
None;Collared Partridge;Arborophila Gingica;NT;Near Threatened;
None;Collared Petrel;Pterodroma Brevipes;VU;Vulnerable;
None;Colombian Screech-Owl;Megascops Colombianus;NT;Near Threatened;
None;Colorful Puffleg;Eriocnemis Mirabilis;EN;Endangered;
None;Common Eider;Somateria Mollissima;NT;Near Threatened;
None;Collared Laughingthrush;Trochalopteron Yersini;EN;Endangered;Endemic to Vietnam's forests, this bird lives up to its name with its cheerful, laughing calls. Its vibrant orange and black plumage adds a splash of color to the dense foliage. Deforestation has fragmented its habitat, making it increasingly rare.
None;Galapagos Petrel;Pterodroma Phaeopygia;CR;Critically Endangered;This elegant seabird, with long wings and a graceful flight, was a key pollinator of the Galapagos. Habitat degradation and invasive species have severely impacted its numbers.
None;Common Grackle;Quiscalus Quiscula;NT;Near Threatened;
None;Common Pochard;Aythya Ferina;VU;Vulnerable;
None;Comoro Blue-Pigeon;Alectroenas Sganzini;NT;Near Threatened;
None;Comoro Blue Vanga;Cyanolanius Comorensis;EN;Endangered;Sporting electric blue feathers, this bird lights up the forests of the Comoros Islands. Its sharp, chattering calls echo through the trees as it hunts for insects. Habitat destruction and limited range make it highly vulnerable.
None;Comoro Cuckooshrike;Ceblepyris Cucullatus;EN;Endangered;
None;Comoro Drongo;Dicrurus Fuscipennis;EN;Endangered;
None;Comoro Olive-Pigeon;Columba Pollenii;NT;Near Threatened;
None;Comoro Parrot;Coracopsis Sibilans;NT;Near Threatened;
None;Guadalupe Storm-Petrel;Hydrobates Macrodactylus;CR (PE);Critically Endangered (Possibly Extinct);A delicate seabird from Guadalupe Island, it was driven to extinction by introduced cats and habitat degradation.
None;Comoro Thrush;Turdus Bewsheri;NT;Near Threatened;
None;Cone-Billed Tanager;Conothraupis Mesoleuca;EN;Endangered;
None;Congo Bay-Owl;Phodilus Prigoginei;EN;Endangered;
None;Congo Peafowl;Afropavo Congensis;VU;Vulnerable;
None;Cook Reed-Warbler;Acrocephalus Kerearako;NT;Near Threatened;
None;Comoro Green-Pigeon;Treron Griveaudi;EN;Endangered;Adorned with emerald-green feathers, this pigeon inhabits the lush forests of the Comoro Islands. It feeds on fruit and plays a key role in seed dispersal. Habitat destruction and invasive species have made it increasingly rare.
None;Cook'S Petrel;Pterodroma Cookii;VU;Vulnerable;
None;Giant Ibis;Thaumatibis Gigantea;CR;Critically Endangered;The national bird of Cambodia, this enormous ibis is revered for its majestic stature and hauntingly resonant calls. Wetland destruction and hunting have severely reduced its numbers, leaving it critically endangered.
None;Copper Pheasant;Syrmaticus Soemmerringii;NT;Near Threatened;
None;Copper-Tailed Starling;Hylopsar Cupreocauda;NT;Near Threatened;
None;Coppery-Bellied Puffleg;Eriocnemis Cupreoventris;NT;Near Threatened;
None;Coppery-Chested Jacamar;Galbula Pastazae;VU;Vulnerable;
None;Coral-Billed Ground-Cuckoo;Carpococcyx Renauldi;VU;Vulnerable;
None;Cordillera Azul Antbird;Myrmoderus Eowilsoni;NT;Near Threatened;
None;Cordillera Ground-Warbler;Robsonius Rabori;VU;Vulnerable;
None;Crowned Solitary Eagle;Buteogallus Coronatus;EN;Endangered;A rare raptor of South America, this eagle commands the skies with its broad wings and imposing stature. Its piercing calls echo through remote savannas and forests. Habitat destruction and persecution by farmers have placed it in peril.
None;Cundinamarca Antpitta;Grallaria Kaestneri;EN;Endangered;This elusive bird, with its soft brown feathers and striking white throat, skulks through the dense undergrowth of Colombia's forests. Its mournful whistles echo like a secret melody, a rare treat for those lucky enough to hear it. Habitat destruction from agriculture and mining has made sightings even rarer, threatening its survival.
None;Cordilleran Parakeet;Psittacara Frontatus;NT;Near Threatened;
None;Corsican Nuthatch;Sitta Whiteheadi;VU;Vulnerable;
None;Costa Rican Ground-Sparrow;Melozone Cabanisi;NT;Near Threatened;
None;Coxen'S Fig-Parrot;Cyclopsitta Coxeni;EN;Endangered;
None;Cozumel Thrasher;Toxostoma Guttatum;CR;Critically Endangered;
None;Cozumel Vireo;Vireo Bairdi;NT;Near Threatened;
None;Craveri'S Murrelet;Synthliboramphus Craveri;VU;Vulnerable;
None;Cream-Bellied Fruit-Dove;Ramphiculus Merrilli;NT;Near Threatened;
None;Creamy-Bellied Antwren;Herpsilochmus Motacilloides;NT;Near Threatened;
None;Creamy-Bellied Gnatcatcher;Polioptila Lactea;NT;Near Threatened;
None;Crested Cuckoo-Dove;Reinwardtoena Crassirostris;NT;Near Threatened;
None;Crested Eagle;Morphnus Guianensis;NT;Near Threatened;
South America;Crested Guan;Penelope Purpurascens;NT;Near Threatened;
None;Crested Jay;Platylophus Galericulatus;NT;Near Threatened;
None;Crested Partridge;Rollulus Rouloul;VU;Vulnerable;
None;Crested Quail-Dove;Geotrygon Versicolor;NT;Near Threatened;
None;Crestless Curassow;Mitu Tomentosum;NT;Near Threatened;
None;Crimson Shining-Parrot;Prosopeia Splendens;VU;Vulnerable;
South America;Dwarf Tinamou;Taoniscus Nanus;EN;Endangered;Small and cryptically colored, this bird blends perfectly into the forest floor with its mottled brown plumage. Its soft, low-pitched calls resonate in the early morning, adding a mysterious charm to its habitat. Logging and hunting have severely reduced its numbers, leaving it increasingly vulnerable to extinction.
None;Eastern Bristlebird;Dasyornis Brachypterus;EN;Endangered;This shy Australian bird has a subtle mix of brown and gray feathers, providing excellent camouflage in grassy woodlands. Its melodic whistles form a unique duet between mating pairs, a sound now seldom heard. Habitat loss from bushfires and land clearing threatens its fragile population.
None;Crimson-Bellied Parakeet;Pyrrhura Perlata;VU;Vulnerable;
None;Crow Honeyeater;Gymnomyza Aubryana;CR;Critically Endangered;
None;Crowned Eagle;Stephanoaetus Coronatus;NT;Near Threatened;
None;Cuban Amazon;Amazona Leucocephala;NT;Near Threatened;
None;Cuban Black Hawk;Buteogallus Gundlachii;NT;Near Threatened;
None;Egyptian Vulture;Neophron Percnopterus;EN;Endangered;This scavenger, known for its striking yellow face and white plumage, uses tools to crack open eggs'a rare behavior among birds. Revered in ancient Egyptian mythology, it plays a vital role in cleaning ecosystems. Poisoning and habitat loss have caused alarming population declines.
None;Jamaican Petrel;Pterodroma Caribbaea;CR (PE);Critically Endangered (Possibly Extinct);Known locally as the 'Blue Mountain Duck,' this petrel's haunting calls disappeared due to overhunting and invasive predators.
None;Cuban Bullfinch;Pyrrhulagra Nigra;NT;Near Threatened;
None;Cuban Kite;Chondrohierax Wilsonii;CR;Critically Endangered;
None;Great Green Macaw;Ara Ambiguus;CR;Critically Endangered;With shimmering green feathers and a bright red crown, this majestic macaw from Central America was a vital seed disperser. Logging of its preferred almond trees has critically endangered the species.
None;Cuban Parakeet;Psittacara Euops;VU;Vulnerable;
None;Cuban Solitaire;Myadestes Elisabeth;NT;Near Threatened;
None;Curlew Sandpiper;Calidris Ferruginea;NT;Near Threatened;
None;Dalmatian Pelican;Pelecanus Crispus;NT;Near Threatened;
None;Damar Flycatcher;Ficedula Henrici;NT;Near Threatened;
None;Dapple-Throat;Arcanator Orostruthus;NT;Near Threatened;
None;Dark-Backed Wood-Quail;Odontophorus Melanonotus;VU;Vulnerable;
None;Dark-Eared Brown-Dove;Phapitreron Brunneiceps;VU;Vulnerable;
None;Dark-Rumped Swift;Apus Acuticauda;VU;Vulnerable;
None;Dark-Throated Oriole;Oriolus Xanthonotus;NT;Near Threatened;
None;Dark-Throated Seedeater;Sporophila Ruficollis;NT;Near Threatened;
None;Dartford Warbler;Curruca Undata;NT;Near Threatened;
None;Delta Amacuro Softtail;Thripophaga Amacurensis;EN;Endangered;
None;Denham'S Bustard;Neotis Denhami;NT;Near Threatened;
None;Great Indian Bustard;Ardeotis Nigriceps;CR;Critically Endangered;Once a common sight in India's grasslands, it stood tall with a golden-brown crest and powerful build. Habitat conversion for agriculture and relentless poaching have left it critically endangered.
None;Desertas Petrel;Pterodroma Deserta;VU;Vulnerable;
None;Diademed Plover;Phegornis Mitchellii;NT;Near Threatened;
None;Diamantina Sabrewing;Campylopterus Diamantinensis;NT;Near Threatened;
None;Ethiopian Bushcrow;Zavattariornis Stresemanni;EN;Endangered;With a striking gray and white body and an intelligent gaze, this bird roams Ethiopia's dry savannas. Its nasal calls and curious behavior make it a favorite among birdwatchers. Climate change has caused shifts in temperature that could shrink its already limited range further.
None;Diamantina Tapaculo;Scytalopus Diamantinensis;EN;Endangered;
None;Diard'S Trogon;Harpactes Diardii;NT;Near Threatened;
None;Dinelli'S Doradito;Pseudocolopteryx Dinelliana;NT;Near Threatened;
None;Himalayan Quail;Ophrysia Superciliosa;CR;Critically Endangered;A ghostly presence in the foothills of the Himalayas, last seen in the 19th century, it was adorned with dusky plumage and a soft, haunting call. Overhunting and habitat encroachment have turned it into a mysterious legend.
None;Dja River Swamp-Warbler;Bradypterus Grandis;NT;Near Threatened;
None;Djaul Flycatcher;Myiagra Cervinicolor;VU;Vulnerable;
None;Djaul Monarch;Symposiachrus Ateralbus;VU;Vulnerable;
None;Djibouti Francolin;Pternistis Ochropectus;CR;Critically Endangered;
None;Doria'S Goshawk;Megatriorchis Doriae;NT;Near Threatened;
None;Far Eastern Curlew;Numenius Madagascariensis;EN;Endangered;This elegant shorebird, with its long, curved bill and intricate brown plumage, migrates vast distances across the Pacific. Its mournful, flute-like calls are a hallmark of coastal wetlands. Coastal development and habitat destruction along its migratory route threaten its survival.
None;Dot-Eared Coquette;Lophornis Gouldii;NT;Near Threatened;
None;Dot-Winged Crake;Laterallus Spilopterus;VU;Vulnerable;
None;Double-Banded Plover;Charadrius Bicinctus;NT;Near Threatened;
None;Drakensberg Rockjumper;Chaetops Aurantius;NT;Near Threatened;
None;Drummer Rail;Habroptila Wallacii;VU;Vulnerable;
None;Flame-Templed Babbler;Dasycrotapha Speciosa;EN;Endangered;This bird's fiery orange crown and melodious chatter make it a standout in the forests of Southeast Asia. Often moving in small groups, its presence is a sign of a healthy forest. Logging and habitat fragmentation are placing this bird in grave danger, reducing its populations.
None;Dry-Forest Sabrewing;Campylopterus Calcirupicola;VU;Vulnerable;
None;Floreana Mockingbird;Mimus Trifasciatus;EN;Endangered;Endemic to the Galapagos, this bird inspired Darwin's early thoughts on evolution. It is a dull brown color but brims with intelligence, scavenging for food near human settlements. Habitat destruction and invasive species have confined it to just a few islands.
None;Duchess Lorikeet;Charmosyna Margarethae;NT;Near Threatened;
None;Dulit Frogmouth;Batrachostomus Harterti;NT;Near Threatened;
None;Dulit Partridge;Rhizothera Dulitensis;VU;Vulnerable;
None;Dull-Blue Flycatcher;Eumyias Sordidus;NT;Near Threatened;
None;Horned Curassow;Pauxi Unicornis;CR;Critically Endangered;Distinguished by its unique casque and shy nature, this bird from Bolivia has a sleek black body with white accents. Revered by locals, it succumbed to hunting and agriculture-driven deforestation.
None;Dupont'S Lark;Chersophilus Duponti;VU;Vulnerable;
None;Dusky Fantail;Rhipidura Tenebrosa;NT;Near Threatened;
None;Flores Scops-Owl;Otus Alfredi;EN;Endangered;A tiny, nocturnal bird with piercing yellow eyes and intricate brown plumage, it is endemic to Indonesia's Flores Island. Its eerie hoots fill the night air, a sound tied deeply to local folklore. The expansion of agriculture and deforestation are pushing this mysterious bird to the edge.
None;Dusky Friarbird;Philemon Fuscicapillus;VU;Vulnerable;
None;Dusky Spinetail;Synallaxis Moesta;NT;Near Threatened;
None;Dusky-Headed Brush-Finch;Atlapetes Fuscoolivaceus;NT;Near Threatened;
None;Dwarf Ibis;Bostrychia Bocagei;CR;Critically Endangered;
None;Dwarf Jay;Cyanolyca Nanus;NT;Near Threatened;
None;Dwarf Sparrowhawk;Accipiter Nanus;NT;Near Threatened;
None;East Andean Antbird;Drymophila Caudata;NT;Near Threatened;
None;East Coast Akalat;Sheppardia Gunningi;NT;Near Threatened;
None;Eastern Barred Woodcreeper;Dendrocolaptes Punctipectus;VU;Vulnerable;
None;Eastern Chat-Tanager;Calyptophilus Frugivorus;NT;Near Threatened;
None;Eastern Imperial Eagle;Aquila Heliaca;VU;Vulnerable;
None;Eastern Meadowlark;Sturnella Magna;NT;Near Threatened;
None;Eastern Red-Necked Araçari;Pteroglossus Bitorquatus;EN;Endangered;
None;Eastern Whip-Poor-Will;Antrostomus Vociferus;NT;Near Threatened;
None;Echo Parakeet;Alexandrinus Eques;VU;Vulnerable;
None;Ecuadorian Piedtail;Phlogophilus Hemileucurus;VU;Vulnerable;
None;Ecuadorian Tapaculo;Scytalopus Robbinsi;EN;Endangered;
None;Ecuadorian Tyrannulet;Phylloscartes Gualaquizae;NT;Near Threatened;
None;El Oro Parakeet;Pyrrhura Orcesi;EN;Endangered;
None;Elegant Mourner;Laniisoma Elegans;NT;Near Threatened;
None;Elegant Sunbird;Aethopyga Duyvenbodei;EN;Endangered;
None;Elegant Tern;Thalasseus Elegans;NT;Near Threatened;
None;Elfin Woods Warbler;Setophaga Angelae;EN;Endangered;
None;Elgon Francolin;Scleroptila Elgonensis;NT;Near Threatened;
None;Elliot'S Pheasant;Syrmaticus Ellioti;NT;Near Threatened;
None;Emei Shan Liocichla;Liocichla Omeiensis;VU;Vulnerable;
None;Emperor Bird-Of-Paradise;Paradisaea Guilielmi;NT;Near Threatened;
None;Emperor Goose;Anser Canagicus;NT;Near Threatened;
None;Emperor Penguin;Aptenodytes Forsteri;NT;Near Threatened;
None;Enggano Imperial-Pigeon;Ducula Oenothorax;NT;Near Threatened;
None;Enggano Scops-Owl;Otus Enganensis;NT;Near Threatened;
None;Enggano Thrush;Geokichla Leucolaema;NT;Near Threatened;
None;Equatorial Greytail;Xenerpestes Singularis;NT;Near Threatened;
None;Erect-Crested Penguin;Eudyptes Sclateri;EN;Endangered;
None;Esmeraldas Woodstar;Chaetocercus Berlepschi;VU;Vulnerable;
None;Espanola Cactus-Finch;Geospiza Conirostris;VU;Vulnerable;
None;Espanola Mockingbird;Mimus Macdonaldi;VU;Vulnerable;
None;Eurasian Curlew;Numenius Arquata;NT;Near Threatened;
None;Eurasian Oystercatcher;Haematopus Ostralegus;NT;Near Threatened;
None;European Turtle-Dove;Streptopelia Turtur;VU;Vulnerable;
None;Galapagos Penguin;Spheniscus Mendiculus;EN;Endangered;The only penguin species to live north of the equator, it survives in the cool currents of the Galapagos Islands. Its comical waddling and endearing behavior delight visitors. Rising sea temperatures and predation by invasive species threaten its survival.
None;Giant Kingbird;Tyrannus Cubensis;EN;Endangered;This imposing bird, with its bold black-and-white plumage and sharp, commanding call, once ruled the skies of Cuba's forests. Now confined to small areas, it relies on mature trees for nesting. Habitat destruction and hurricanes have made it one of the rarest birds in the Caribbean.
None;Evening Grosbeak;Hesperiphona Vespertina;VU;Vulnerable;
None;Everett'S Thrush;Zoothera Everetti;NT;Near Threatened;
None;Eye-Ringed Tody-Tyrant;Hemitriccus Orbitatus;NT;Near Threatened;
None;Fairy Pitta;Pitta Nympha;VU;Vulnerable;
None;Fairy Tern;Sternula Nereis;VU;Vulnerable;
None;Falcated Duck;Mareca Falcata;NT;Near Threatened;
None;Falcated Wren-Babbler;Ptilocichla Falcata;VU;Vulnerable;
None;Ivory-Billed Woodpecker;Campephilus Principalis;CR;Critically Endangered;The 'Lord God Bird,' famed for its striking black and white plumage and large size, was a symbol of wilderness in the southeastern U.S. Extensive logging and hunting have likely driven it to extinction.
None;Fawn-Breasted Thrush;Zoothera Machiki;NT;Near Threatened;
None;Fearful Owl;Nesasio Solomonensis;VU;Vulnerable;
None;Fernandina'S Flicker;Colaptes Fernandinae;EN;Endangered;
None;Ferruginous Duck;Aythya Nyroca;NT;Near Threatened;
None;Ferruginous Partridge;Caloperdix Oculeus;NT;Near Threatened;
None;Festive Coquette;Lophornis Chalybeus;NT;Near Threatened;
None;Fiery Minivet;Pericrocotus Igneus;NT;Near Threatened;
None;Fiery-Throated Fruiteater;Pipreola Chlorolepidota;NT;Near Threatened;
None;Fiji Petrel;Pseudobulweria Macgillivrayi;CR;Critically Endangered;
None;Finn'S Weaver;Ploceus Megarhynchus;EN;Endangered;
None;Finsch'S Bulbul;Iole Finschii;NT;Near Threatened;
None;Finsch'S Imperial-Pigeon;Ducula Finschii;NT;Near Threatened;
None;Fiordland Penguin;Eudyptes Pachyrhynchus;NT;Near Threatened;
None;Javan Lapwing;Vanellus Macropterus;CR (PE);Critically Endangered (Possibly Extinct);A wader from Java's wetlands, it fell victim to habitat conversion for agriculture and hunting.
None;Javan Green Magpie;Cissa Thalassina;CR;Critically Endangered;A striking bird from Southeast Asia with vivid yellow, black, and blue plumage, it was thought extinct until rediscovered. Its survival is still precarious due to relentless habitat destruction.
None;Fire-Maned Bowerbird;Sericulus Bakeri;NT;Near Threatened;
None;Firethroat;Calliope Pectardens;NT;Near Threatened;
None;Fischer'S Lovebird;Agapornis Fischeri;NT;Near Threatened;
None;Glow-Throated Hummingbird;Selasphorus Ardens;EN;Endangered;Its brilliant, iridescent throat glimmers like a flame as it darts between flowers in Mexico's highlands. Its rapid wingbeats hum alongside the soft rustle of mountain breezes. Encroachment of farming into its habitat has placed this dazzling bird under severe pressure.
None;Fischer'S Turaco;Tauraco Fischeri;NT;Near Threatened;
None;Eskimo Curlew;Numenius Borealis;CR (PE);Critically Endangered (Possibly Extinct);Once migrating in great flocks across North America, this curlew was overhunted into oblivion.
None;Five-Colored Barbet;Capito Quinticolor;NT;Near Threatened;
None;Flame Robin;Petroica Phoenicea;NT;Near Threatened;
None;Flame-Breasted Fruit-Dove;Ramphiculus Marchei;VU;Vulnerable;
None;Flesh-Footed Shearwater;Ardenna Carneipes;NT;Near Threatened;
None;Flightless Cormorant;Nannopterum Harrisi;VU;Vulnerable;
None;Golden White-Eye;Cleptornis Marchei;EN;Endangered;Endemic to the Mariana Islands, this bird glimmers with a yellow-orange plumage and has a sweet, warbling song. It thrives in dense forests, feeding on insects and fruit. Habitat destruction and introduced snakes have decimated its population.
None;Flores Crow;Corvus Florensis;EN;Endangered;
None;Flores Green-Pigeon;Treron Floris;VU;Vulnerable;
None;Juan Fernandez Firecrown;Sephanoides Fernandensis;CR;Critically Endangered;The Juan Fernandez Firecrown, a fiery hummingbird from Chile, depends on its island's unique flora. Habitat changes and introduced species have imperiled it.
None;Flores Hanging-Parrot;Loriculus Flosculus;VU;Vulnerable;
None;Flores Hawk-Eagle;Nisaetus Floris;CR;Critically Endangered;
None;Flores Lorikeet;Trichoglossus Weberi;NT;Near Threatened;
None;Flores Monarch;Symposiachrus Sacerdotum;EN;Endangered;
None;Florida Scrub-Jay;Aphelocoma Coerulescens;VU;Vulnerable;
None;Fluffy-Backed Tit-Babbler;Macronus Ptilosus;NT;Near Threatened;
None;Fly River Grassbird;Poodytes Albolimbatus;VU;Vulnerable;
None;Forbes'S Blackbird;Anumara Forbesi;VU;Vulnerable;
None;Forest Bittern;Zonerodius Heliosylus;NT;Near Threatened;
None;Forest Buzzard;Buteo Trizonatus;NT;Near Threatened;
None;Forest Owlet;Athene Blewitti;EN;Endangered;
None;Forest Thrush;Turdus Lherminieri;NT;Near Threatened;
None;Fork-Tailed Tody-Tyrant;Hemitriccus Furcatus;VU;Vulnerable;
None;Forty-Spotted Pardalote;Pardalotus Quadragintus;EN;Endangered;
None;Fox'S Weaver;Ploceus Spekeoides;NT;Near Threatened;
None;Fringe-Backed Fire-Eye;Pyriglena Atra;EN;Endangered;
None;Fuegian Snipe;Gallinago Stricklandii;NT;Near Threatened;
None;Fuerteventura Stonechat;Saxicola Dacotiae;NT;Near Threatened;
None;Fulvous-Dotted Treerunner;Margarornis Stellatus;NT;Near Threatened;
None;Furtive Flycatcher;Ficedula Disposita;NT;Near Threatened;
None;Fynbos Buttonquail;Turnix Hottentottus;EN;Endangered;
None;Gabela Akalat;Sheppardia Gabela;EN;Endangered;
None;Gabela Bush-Shrike;Laniarius Amboimensis;EN;Endangered;
None;Gabela Helmetshrike;Prionops Gabela;EN;Endangered;
None;Galapagos Dove;Zenaida Galapagoensis;NT;Near Threatened;
None;Galapagos Hawk;Buteo Galapagoensis;VU;Vulnerable;
None;New Caledonian Buttonquail;Turnix Novaecaledoniae;CR (PE);Critically Endangered (Possibly Extinct);A secretive ground bird from New Caledonia, its decline was caused by habitat loss and invasive mammals.
None;Galapagos Martin;Progne Modesta;EN;Endangered;
None;Galapagos Rail;Laterallus Spilonota;VU;Vulnerable;
None;Kakapo;Strigops Habroptila;CR;Critically Endangered;A nocturnal parrot from New Zealand with an owl-like face and deep green feathers, its booming courtship calls once echoed across the forest. Introduced predators have decimated its population, but conservation efforts continue.
None;Garnet Pitta;Erythropitta Granatina;NT;Near Threatened;
None;Geelvink Pygmy-Parrot;Micropsitta Geelvinkiana;NT;Near Threatened;
None;Genovesa Cactus-Finch;Geospiza Propinqua;VU;Vulnerable;
None;Genovesa Ground-Finch;Geospiza Acutirostris;VU;Vulnerable;
None;Geomalia;Zoothera Heinrichi;NT;Near Threatened;
None;Germain'S Peacock-Pheasant;Polyplectron Germaini;NT;Near Threatened;
None;Giant Antpitta;Grallaria Gigantea;VU;Vulnerable;
None;Giant Babax;Pterorhinus Waddelli;NT;Near Threatened;
None;Giant Conebill;Conirostrum Binghami;NT;Near Threatened;
None;Giant Nuthatch;Sitta Magna;EN;Endangered;
None;Giant Pitta;Hydrornis Caeruleus;NT;Near Threatened;
None;Giant Scops-Owl;Otus Gurneyi;VU;Vulnerable;
None;Giant Sunbird;Dreptes Thomensis;VU;Vulnerable;
None;Giant Weaver;Ploceus Grandis;NT;Near Threatened;
None;Giant White-Eye;Megazosterops Palauensis;NT;Near Threatened;
None;Gizo White-Eye;Zosterops Luteirostris;EN;Endangered;
None;Glittering Starfrontlet;Coeligena Orina;EN;Endangered;
None;Goias Parakeet;Pyrrhura Pfrimeri;EN;Endangered;
None;Gola Malimbe;Malimbus Ballmanni;NT;Near Threatened;
None;Golden Masked-Owl;Tyto Aurantia;VU;Vulnerable;
None;Golden Parakeet;Guaruba Guarouba;VU;Vulnerable;
None;Golden Swallow;Tachycineta Euchrysea;VU;Vulnerable;
None;Golden-Backed Mountain-Tanager;Cnemathraupis Aureodorsalis;EN;Endangered;
None;Golden-Bellied White-Eye;Zosterops Uropygialis;NT;Near Threatened;
None;Golden-Capped Parakeet;Aratinga Auricapillus;NT;Near Threatened;
None;Golden-Cheeked Warbler;Setophaga Chrysoparia;EN;Endangered;
None;Golden-Crowned Babbler;Sterrhoptilus Dennistouni;NT;Near Threatened;
None;Golden-Fronted Fulvetta;Schoeniparus Variegaticeps;VU;Vulnerable;
None;Golden-Naped Weaver;Ploceus Aureonucha;EN;Endangered;
None;Golden-Shouldered Parrot;Psephotellus Chrysopterygius;EN;Endangered;
None;Golden-Tailed Parrotlet;Touit Surdus;VU;Vulnerable;
None;Golden-Winged Laughingthrush;Trochalopteron Ngoclinhense;EN;Endangered;
None;Golden-Winged Warbler;Vermivora Chrysoptera;NT;Near Threatened;
None;Goldie'S Bird-Of-Paradise;Paradisaea Decora;VU;Vulnerable;
None;Greater Adjutant;Leptoptilos Dubius;EN;Endangered;This tall, stork-like bird, with its scruffy neck and imposing presence, is a crucial scavenger in wetlands and garbage dumps of South Asia. Once abundant, it is now critically endangered due to habitat destruction and persecution. Conservation efforts have made progress, but challenges remain.
None;Gold-Ringed Tanager;Bangsia Aureocincta;VU;Vulnerable;
None;Gorgeted Puffleg;Eriocnemis Isabellae;CR;Critically Endangered;
None;Gorgeted Wood-Quail;Odontophorus Strophium;VU;Vulnerable;
None;Gough Finch;Rowettia Goughensis;CR;Critically Endangered;
None;Gough Moorhen;Gallinula Comeri;VU;Vulnerable;
None;Gouldian Finch;Chloebia Gouldiae;NT;Near Threatened;
None;Gould'S Frogmouth;Batrachostomus Stellatus;NT;Near Threatened;
None;Graceful Pitta;Erythropitta Venusta;VU;Vulnerable;
None;Gran Canaria Blue Chaffinch;Fringilla Polatzeki;EN;Endangered;
None;Grand Cayman Bullfinch;Pyrrhulagra Taylori;NT;Near Threatened;
None;Grand Comoro Bulbul;Hypsipetes Parvirostris;VU;Vulnerable;
None;Grand Comoro Fody;Foudia Consobrina;NT;Near Threatened;
None;Grand Comoro Scops-Owl;Otus Pauliani;EN;Endangered;
None;Grauer'S Broadbill;Pseudocalyptomena Graueri;VU;Vulnerable;
None;Grauer'S Swamp-Warbler;Bradypterus Graueri;VU;Vulnerable;
None;Great Antpitta;Grallaria Excelsa;VU;Vulnerable;
None;Great Argus;Argusianus Argus;VU;Vulnerable;
None;Great Bustard;Otis Tarda;VU;Vulnerable;
None;Great Curassow;Crax Rubra;VU;Vulnerable;
None;Great Hornbill;Buceros Bicornis;VU;Vulnerable;
None;Great Knot;Calidris Tenuirostris;EN;Endangered;
None;Great Nicobar Serpent-Eagle;Spilornis Klossi;NT;Near Threatened;
None;Great Slaty Woodpecker;Mulleripicus Pulverulentus;VU;Vulnerable;
None;Great Snipe;Gallinago Media;NT;Near Threatened;
None;Great Spinetail;Synallaxis Hypochondriaca;NT;Near Threatened;
New Zealand;Great Spotted Kiwi;Apteryx Haastii;VU;Vulnerable;
None;Great Thick-Knee;Esacus Recurvirostris;NT;Near Threatened;
None;Pernambuco Pygmy-Owl;Glaucidium Mooreorum;CR (PE);Critically Endangered (Possibly Extinct);Endemic to Brazil's Atlantic Forest, this tiny owl was wiped out by rampant deforestation.
None;Great White Heron;Ardea Occidentalis;EN;Endangered;
None;Grey Crowned Crane;Balearica Regulorum;EN;Endangered;A vision of elegance, this crane is adorned with a crown of golden feathers and a regal gait. Its deep, resonant calls echo across African wetlands, where it plays a role in many cultural traditions. Draining of wetlands for agriculture has made its striking silhouette an increasingly rare sight.
None;Great-Billed Seed-Finch;Sporophila Maximiliani;EN;Endangered;
None;Greater Green Leafbird;Chloropsis Sonnerati;EN;Endangered;
None;Greater Prairie-Chicken;Tympanuchus Cupido;NT;Near Threatened;
South America;Greater Rhea;Rhea Americana;NT;Near Threatened;
None;Greater Scythebill;Drymotoxeres Pucheranii;NT;Near Threatened;
None;Greater Spotted Eagle;Clanga Clanga;VU;Vulnerable;
None;Green Avadavat;Amandava Formosa;VU;Vulnerable;
None;Green Broadbill;Calyptomena Viridis;NT;Near Threatened;
None;Green Imperial-Pigeon;Ducula Aenea;NT;Near Threatened;
None;Green Iora;Aegithina Viridissima;NT;Near Threatened;
None;Green Peafowl;Pavo Muticus;EN;Endangered;
None;Green Racquet-Tail;Prioniturus Luconensis;EN;Endangered;
None;Green Warbler-Finch;Certhidea Olivacea;VU;Vulnerable;
None;Green-Billed Coucal;Centropus Chlororhynchos;VU;Vulnerable;
None;Green-Breasted Bush-Shrike;Malaconotus Gladiator;VU;Vulnerable;
None;Green-Capped Tanager;Tangara Meyerdeschauenseei;NT;Near Threatened;
None;Green-Faced Parrotfinch;Erythrura Viridifacies;VU;Vulnerable;
None;Green-Naped Tanager;Tangara Fucosa;NT;Near Threatened;
None;Green-Tailed Bristlebill;Bleda Eximius;NT;Near Threatened;
None;Green-Thighed Parrot;Pionites Leucogaster;EN;Endangered;
